"cases","zip_code","total_population","total_non_hispanic","total_white_nonhispanic","total_black_nonhispanic","total_asian_alone","total_black","total_hispanic","average_household_size","pct_more_than_one_occupant_per_room","total_male","total_female","age_60_and_over","age_65_and_over","age_75_and_over","median_age","below_poverty_level","pct_below_poverty_level","household_median_income","household_mean_income","pct_services","pct_over_age_65","pct_white","pct_minority","pct_black","pct_hispanic","cases_per_1000","city"
459,11436,20077,17108,308,11991,2084,12945,2969,3.54850922773696,9,9918,10159,3246,2113,829,36.9,2213,11.1,75242,95711,0.287702783897457,0.105244807491159,0.0153409373910445,0.984659062608956,0.5972505852468,0.147880659461075,22.8619813717189,"nyc"
1208,11213,66295,59235,13651,42570,1252,46001,7060,2.61374915091701,9.1,30437,35858,10851,7603,3462,33.4,15449,23.6,41710,69062,0.269174482804497,0.114684365336752,0.205912964778641,0.794087035221359,0.642129874047817,0.106493702390829,18.2215853382608,"nyc"
1527,11212,76527,62261,907,59207,974,63695,14266,2.22267660710879,5.7,32439,44088,14705,10241,4257,37.6,26929,36.1,26239,57515,0.373825357814081,0.133822049734081,0.0118520260822978,0.988147973917702,0.77367465077685,0.186417865589923,19.9537418166137,"nyc"
1012,11225,58882,53969,14516,35980,1521,38536,4913,2.43714747977598,7,26817,32065,10880,7446,3079,34.8,10895,18.6,55862,93590,0.245553643144005,0.126456302435379,0.246526952209504,0.753473047790496,0.61105261370198,0.0834380625658096,17.1869162052919,"nyc"
1464,11218,74508,61419,39092,5637,13789,7142,13089,2.96591651250704,13.8,37538,36970,12443,8800,3406,34.2,14736,19.9,69415,104228,0.227390485162506,0.118108122617705,0.524668491974016,0.475331508025984,0.0756563053631825,0.175672411016267,19.6488967627637,"nyc"
1870,11226,100277,83132,12161,65421,2878,69703,17145,2.71206381183132,13.4,45123,55154,17827,11923,4858,34.7,17403,17.4,52052,76813,0.319722602949901,0.118900645212761,0.121274070823818,0.878725929176182,0.652402844121783,0.170976395384784,18.6483440868793,"nyc"
2421,11219,90036,79123,55723,815,22002,1246,10913,3.63894187474417,25.6,44986,45050,14575,10627,4748,27.8,31731,35.5,39295,61515,0.300773607055778,0.118030565551557,0.618896885690168,0.381103114309832,0.0090519347816429,0.121207072726465,26.8892443022791,"nyc"
1458,11210,67040,62324,19773,38113,2828,40155,4716,2.99586024161315,10.9,30595,36445,12718,8892,3302,35.6,8288,12.4,65900,102615,0.276140453263301,0.13263723150358,0.294943317422434,0.705056682577566,0.568511336515513,0.070346062052506,21.7482100238663,"nyc"
1961,11230,89075,79956,58782,6138,12547,6909,9119,2.89029177024729,15,42716,46359,18448,13740,6527,33.8,20276,22.9,49541,93905,0.272851370536202,0.154252034802133,0.659915801291047,0.340084198708953,0.0689082234072411,0.102374403592478,22.0151557676116,"nyc"
1691,11204,76978,68582,41872,851,24376,1118,8396,3.25498411084276,16.7,38466,38512,14868,10477,4876,34.7,17475,22.8,49785,79824,0.296747839748625,0.136103821871184,0.543947621398322,0.456052378601678,0.0110551066538492,0.109070123931513,21.9673153368495,"nyc"
530,10471,21896,16893,12819,2276,1262,2919,5003,2.18216445685043,3.2,10378,11518,7199,5554,3147,44.9,1885,10,85707,160369,0.105888223552894,0.25365363536719,0.585449397150164,0.414550602849836,0.103945926196566,0.228489221775667,24.2053343076361,"nyc"
397,10470,15432,12177,5590,5714,537,6227,3255,2.52039170506912,7.1,7069,8363,3596,2615,1325,40.5,1904,12.4,57160,90146,0.236785618459887,0.169453084499741,0.362234318299637,0.637765681700363,0.370269569725246,0.210925349922239,25.7257646448937,"nyc"
2095,10466,72479,56508,2074,50054,2169,54368,15971,3.02917313533581,9.3,31842,40637,13431,9090,4046,36.6,14086,19.7,51477,77077,0.334853260703247,0.12541563763297,0.0286151850880945,0.971384814911906,0.69060003587246,0.220353481698147,28.9049241849363,"nyc"
2931,10467,103732,49446,9736,31584,5916,38921,54286,2.77729663508657,15.9,49745,53987,17307,11360,4873,33.7,28506,27.9,37015,56744,0.358015651457599,0.10951297574519,0.0938572475224617,0.906142752477538,0.304476921297189,0.523329348706282,28.2555045694675,"nyc"
1627,10463,71360,34888,22584,7980,2579,13003,36472,2.40428631197267,8.1,33641,37719,18097,14115,6845,39.8,11862,17.2,58551,98513,0.252161383285303,0.197799887892377,0.316479820627803,0.683520179372197,0.11182735426009,0.51109865470852,22.7998878923767,"nyc"
1627,10463,71360,34888,22584,7980,2579,13003,36472,2.40428631197267,8.1,33641,37719,18097,14115,6845,39.8,11862,17.2,58551,98513,0.252161383285303,0.197799887892377,0.316479820627803,0.683520179372197,0.11182735426009,0.51109865470852,22.7998878923767,"nyc"
1530,10475,43208,30666,3419,24539,1186,28010,12542,2.22584359507436,6.1,18358,24850,13845,10594,5021,45,4411,10.5,50832,76817,0.230308520811314,0.245186076652472,0.0791288650249954,0.920871134975005,0.567927235697093,0.290270320311053,35.4101092390298,"nyc"
115,10464,4434,3317,2966,83,245,119,1117,2.33229793977813,1.8,2162,2272,1335,997,389,44.9,359,8.1,93365,140250,0.102032351721277,0.224853405502932,0.668921966621561,0.331078033378439,0.0187189896256202,0.25191700496166,25.935949481281,"nyc"
115,10464,4434,3317,2966,83,245,119,1117,2.33229793977813,1.8,2162,2272,1335,997,389,44.9,359,8.1,93365,140250,0.102032351721277,0.224853405502932,0.668921966621561,0.331078033378439,0.0187189896256202,0.25191700496166,25.935949481281,"nyc"
115,10464,4434,3317,2966,83,245,119,1117,2.33229793977813,1.8,2162,2272,1335,997,389,44.9,359,8.1,93365,140250,0.102032351721277,0.224853405502932,0.668921966621561,0.331078033378439,0.0187189896256202,0.25191700496166,25.935949481281,"nyc"
2588,10469,73870,52452,7907,38318,4757,41477,21418,3.17438485523385,9.8,34385,39485,16919,12216,5881,40.2,10753,15.1,63652,87782,0.301379575197188,0.165371598754569,0.107039393529173,0.892960606470827,0.51872207932855,0.289941789630432,35.0345201028834,"nyc"
2137,10468,78647,19059,2323,12763,2224,18087,59588,2.93088769078897,18,37011,41636,10776,7812,3139,32.2,24945,32.1,36046,52131,0.464189998289331,0.099329917225069,0.0295370452782687,0.970462954721731,0.162282095947716,0.757663992269254,27.1720472491004,"nyc"
1745,10458,83960,25397,6995,14617,2333,18960,58563,2.9554394839088,17.1,40415,43545,10336,6586,2438,29,28518,35.3,33932,51860,0.430595393307258,0.0784421152929967,0.083313482610767,0.916686517389233,0.174094807050977,0.697510719390186,20.7837065269176,"nyc"
596,10034,42910,12985,8628,2329,1298,5989,29925,2.66408201304753,14.4,20361,22549,8451,5779,2142,36.4,8355,19.6,54716,71361,0.32340834248079,0.134677231414589,0.201072011186204,0.798927988813796,0.0542763924493125,0.697389885807504,13.889536238639,"nyc"
1116,10033,59607,18765,14090,2448,1238,8637,40842,2.98966212090372,11.9,30216,29391,11276,8322,3653,35.8,11496,19.6,58614,78761,0.301275858622872,0.139614474810006,0.236381633029678,0.763618366970322,0.0410690019628567,0.685187981277367,18.7226332477729,"nyc"
2003,10462,76756,40273,8909,19050,9627,23923,36483,2.58499949226551,11.1,36091,40665,13226,9245,4127,36.3,14872,19.5,52409,70616,0.30485521209325,0.120446610037,0.116069102089739,0.883930897910261,0.24818906665277,0.475311376309344,26.0956798165616,"nyc"
850,10040,44571,13603,9352,2181,1257,6355,30968,2.65632779185464,11.9,20779,23792,9772,7341,3752,37.4,9557,22.3,47137,72424,0.312936073920422,0.164703506764488,0.209822530344843,0.790177469655157,0.0489331628188733,0.694801552579031,19.0706961925916,"nyc"
1998,10453,79606,24555,941,21817,1043,27063,55051,2.86035648793369,15.7,36246,43360,9909,6716,2208,30.4,32022,40.5,25275,40617,0.450052198877724,0.0843655000879331,0.0118207170313795,0.98817928296862,0.274062256613823,0.691543351003693,25.0986106574881,"nyc"
